Marketing Condition,Financial Performance,Customer Feedback,Industry Competition,Product/Service Quality,Consumer Behavior,Expansion Ability,Uncontrollable Factors,Market Saturation,Marketing Strategies,output
0.596,0.662,0.613,0.677,0.535,0.76,0.534,0.9,0.617,0.77,S
0.825,0.766,0.662,0.667,0.835,0.997,0.831,0.779,0.865,0.733,S
0.781,0.979,0.588,0.845,0.6,0.768,0.548,0.725,0.878,0.674,S
0.898,0.964,0.617,0.7,0.576,0.996,0.964,0.77,0.921,0.76,S
0.545,0.878,0.564,0.913,0.891,0.854,0.518,0.652,0.632,0.68,S
0.968,0.777,0.653,0.698,0.724,0.8,0.758,0.96,0.748,0.996,S
0.604,0.965,0.558,0.909,0.69,0.939,0.934,0.903,0.895,0.652,S
0.701,0.587,0.847,0.673,0.988,0.82,0.911,0.566,0.931,0.961,S
0.803,0.882,0.587,0.751,0.699,0.573,0.684,0.534,0.513,0.568,S
0.775,0.983,0.716,0.656,0.753,0.72,0.553,0.82,0.608,0.81,S
0.576,0.531,0.89,0.73,0.529,0.997,0.529,0.848,0.992,0.62,S
0.561,0.652,0.551,0.846,0.531,0.755,0.998,0.907,0.808,0.653,S
0.764,0.713,0.565,0.943,0.725,0.597,0.684,0.707,0.914,0.867,S
0.506,0.708,0.741,0.51,0.63,0.88,0.569,0.768,0.608,0.506,S
0.988,0.901,0.98,0.744,0.555,0.774,0.727,0.922,0.549,0.744,S
0.662,0.869,0.738,0.688,0.697,0.73,0.893,0.946,0.978,0.893,S
0.844,0.719,0.627,0.92,0.519,0.951,0.731,0.819,0.83,0.948,S
0.807,0.533,0.759,0.575,0.869,0.756,0.84,0.521,0.542,0.858,S
0.536,0.506,0.978,0.869,0.677,0.648,0.675,0.887,0.831,0.593,S
0.549,0.83,0.882,0.633,0.51,0.541,0.984,0.648,0.885,0.812,S
0.603,0.561,0.808,0.887,0.822,0.765,0.521,0.984,0.899,0.646,S
0.801,0.791,0.874,0.906,0.828,0.564,0.669,0.964,0.612,0.686,S
0.72,0.806,0.972,0.62,0.561,0.599,0.943,0.823,0.643,0.908,S
0.923,0.959,0.626,0.878,0.73,0.921,0.864,0.888,0.828,0.589,S
0.992,0.969,0.522,0.582,0.566,0.863,0.909,0.607,0.753,0.92,S
0.771,0.795,0.754,0.649,0.783,0.844,0.937,0.818,0.881,0.58,S
0.505,0.623,0.863,0.996,0.55,0.701,0.9,0.602,0.778,0.867,S
0.594,0.678,0.892,0.777,0.503,0.88,0.518,0.873,0.601,0.979,S
0.663,0.574,0.653,0.938,0.998,0.684,0.724,0.861,0.943,0.797,S
0.706,0.848,0.502,0.81,0.678,0.897,0.546,0.794,0.74,0.821,S
0.79,0.781,0.78,0.802,0.838,0.902,0.635,0.913,0.749,0.539,S
0.667,0.892,0.854,0.894,0.759,0.72,0.574,0.664,0.717,0.544,S
0.799,0.868,0.999,0.967,0.821,0.711,0.818,0.893,0.559,0.705,S
0.692,0.786,0.794,0.592,0.681,0.667,0.513,0.512,0.916,0.637,S
0.649,0.97,0.63,0.715,0.936,0.921,0.593,0.901,0.729,0.741,S
0.54,0.864,0.748,0.718,0.865,0.883,0.579,0.805,0.568,0.876,S
0.978,0.534,0.529,0.641,0.631,0.623,0.953,0.625,0.636,0.88,S
0.888,0.533,0.744,0.517,0.531,0.953,0.57,0.766,0.706,0.674,S
0.511,0.832,0.982,0.78,0.968,0.526,0.709,0.63,0.865,0.991,S
0.827,0.599,0.783,0.732,0.986,0.804,0.675,0.557,0.576,0.613,S
0.925,0.781,0.762,0.557,0.93,0.861,0.534,0.854,0.772,0.541,S
0.742,0.583,0.973,0.925,0.835,0.731,0.706,0.825,0.773,0.531,S
0.903,0.73,0.526,0.893,0.601,0.629,0.582,0.665,0.878,0.76,S
0.939,0.94,0.935,0.619,0.726,0.992,0.886,0.514,0.533,0.732,S
0.769,0.749,0.553,0.828,0.911,0.69,0.888,0.982,0.602,0.762,S
0.896,0.789,0.817,0.899,0.698,0.958,0.767,0.579,0.848,0.897,S
0.929,0.953,0.638,0.992,0.57,0.601,0.592,0.947,0.827,0.576,S
0.808,0.542,0.941,0.902,0.753,0.984,0.709,0.992,0.834,0.817,S
0.941,0.714,0.581,0.506,0.78,0.764,0.86,0.945,0.54,0.866,S
0.929,0.91,0.77,0.855,0.657,0.736,0.911,0.73,0.679,0.747,S
0.261,0.488,0.063,0.008,0.385,0.404,0.06,0.133,0.009,0.147,W
0.259,0.174,0.186,0.001,0.15,0.323,0.487,0.424,0.012,0.449,W
0.39,0.229,0.199,0.151,0.033,0.114,0.123,0.242,0.374,0.237,W
0.479,0.471,0.393,0.496,0.272,0.481,0.038,0.183,0.113,0.098,W
0.311,0.391,0.289,0.073,0.406,0.318,0.194,0.337,0.13,0.173,W
0.145,0.235,0.445,0.354,0.031,0.074,0.004,0.315,0.224,0.067,W
0.265,0.121,0.25,0.34,0.038,0.137,0.403,0.23,0.273,0.216,W
0.083,0.223,0.105,0.025,0.422,0.491,0.397,0.427,0.121,0.48,W
0.476,0.497,0.356,0.491,0.285,0.13,0.218,0.297,0.037,0.311,W
0.095,0.396,0.454,0.472,0.48,0.261,0.489,0.379,0.081,0.238,W
0.124,0.32,0.333,0.081,0.283,0.386,0.249,0.006,0.005,0.179,W
0.114,0.317,0.111,0.161,0.424,0.364,0.048,0.214,0.015,0.24,W
0.059,0.144,0.199,0.46,0.497,0.022,0.381,0.186,0.196,0.377,W
0.475,0.289,0.179,0.394,0.126,0.282,0.179,0.328,0.12,0.096,W
0.051,0.253,0.11,0.019,0.018,0.088,0.433,0.141,0.475,0.291,W
0.29,0.258,0.379,0.141,0.177,0.447,0.473,0.446,0.21,0.39,W
0.249,0.102,0.296,0.093,0.166,0.428,0.104,0.036,0.035,0.47,W
0.205,0.405,0.418,0.166,0.347,0.386,0.327,0.076,0.438,0.27,W
0.213,0.019,0.064,0.383,0,0.208,0.261,0.027,0.487,0.113,W
0.152,0.115,0.001,0.365,0.483,0.112,0.332,0.371,0.424,0.211,W
0.163,0.356,0.408,0.091,0.185,0.451,0.403,0.492,0.377,0.197,W
0.331,0.039,0.272,0.355,0.084,0.39,0.292,0.476,0.021,0.133,W
0.148,0.357,0.38,0.051,0.257,0.254,0.185,0.466,0.414,0.349,W
0.231,0.46,0.347,0.364,0.431,0.137,0.404,0.098,0.173,0.168,W
0.428,0.351,0.364,0.281,0.474,0.248,0.19,0.082,0.393,0.367,W
0.013,0.419,0.006,0.352,0.485,0.219,0.117,0.352,0.409,0.273,W
0.026,0.252,0.359,0.431,0.09,0.4,0.276,0.198,0.066,0.433,W
0.155,0.145,0.436,0.336,0.398,0.125,0.312,0.286,0.416,0.453,W
0.337,0.026,0.274,0.144,0.153,0.176,0.311,0.167,0.366,0.202,W
0.392,0.143,0.216,0.343,0.166,0.028,0.187,0.472,0.321,0.336,W
0.099,0.209,0.375,0.051,0.139,0.138,0.216,0.49,0.034,0.259,W
0.485,0.057,0.202,0.369,0.352,0.211,0.173,0.199,0.132,0.103,W
0.134,0.144,0.328,0.484,0.302,0.038,0.038,0.476,0.149,0.046,W
0.312,0.324,0.134,0.008,0.483,0.125,0.338,0.353,0.305,0.156,W
0.299,0.433,0.473,0.053,0.077,0.472,0.368,0.441,0.101,0.294,W
0.34,0.204,0.008,0.291,0.127,0.225,0.479,0.2,0.42,0.094,W
0.489,0.051,0.004,0.217,0.046,0.374,0.457,0.217,0.129,0.217,W
0.005,0.295,0.307,0.319,0.121,0.357,0.046,0.1,0.439,0.369,W
0.124,0.107,0.135,0.124,0.031,0.229,0.366,0.303,0.336,0.041,W
0.419,0.403,0.411,0.466,0.272,0.1,0.308,0.371,0.369,0.261,W
0.186,0.46,0.292,0.269,0.134,0.184,0.448,0.333,0.394,0.227,W
0.124,0.353,0.214,0.221,0.325,0.468,0.032,0.412,0.146,0.222,W
0.151,0.251,0.028,0.246,0.464,0.053,0.382,0.205,0.328,0.13,W
0.08,0.035,0.093,0.332,0.441,0.407,0.343,0.055,0.145,0.155,W
0.258,0.268,0.178,0.177,0.414,0.395,0.154,0.457,0.476,0.163,W
0.253,0.471,0.438,0.051,0.196,0.277,0.252,0.097,0.429,0.338,W
0.429,0.374,0.22,0.305,0.08,0.337,0.09,0.347,0.115,0.059,W
0.001,0.359,0.366,0.257,0.081,0.042,0.01,0.083,0.445,0.121,W
0.053,0.111,0.26,0.304,0.123,0.029,0.196,0.117,0.11,0.48,W
0.278,0.208,0.214,0.27,0.348,0.351,0.086,0.25,0.206,0.435,W
0.648,0.115,0.606,0.709,0.337,0.716,0.512,0.786,0.967,0.816,O
0.969,0.419,0.018,0.558,0.069,0.69,0.917,0.903,0.845,0.713,O
0.909,0.536,0.836,0.806,0.843,0.958,0.987,0.88,0.912,0.774,O
0.992,0.466,0.076,0.969,0.804,0.626,0.568,0.577,0.778,0.587,O
0.63,0.067,0.648,0.831,0.375,0.922,0.616,0.575,0.89,0.648,O
0.985,0.373,0.069,0.538,0.464,0.742,0.934,0.634,0.508,0.832,O
0.716,0.005,0.804,0.677,0.548,0.757,0.963,0.681,0.909,0.983,O
0.674,0.14,0.671,0.775,0.742,0.654,0.71,0.704,0.52,0.525,O
0.525,0.654,0.889,0.702,0.632,0.787,0.525,0.84,0.945,0.945,O
0.526,0.215,0.425,0.917,0.507,0.663,0.52,0.528,0.996,0.788,O
0.846,0.272,0.692,0.907,0.939,0.52,0.787,0.517,0.647,0.782,O
0.729,0.265,0.662,0.806,0.778,0.636,0.696,0.696,0.605,0.75,O
0.613,0.26,0.034,0.687,0.243,0.503,0.514,0.849,0.883,0.535,O
0.807,0.901,0.996,0.628,0.845,0.989,0.792,0.597,0.627,0.545,O
0.626,0.807,0.858,0.553,0.241,0.983,0.506,0.821,0.933,0.8,O
0.789,0.313,0.654,0.677,0.014,0.698,0.894,0.63,0.551,0.67,O
0.68,0.625,0.864,0.707,0.581,0.864,0.653,0.943,0.563,0.959,O
0.912,0.928,0.929,0.838,0.528,0.673,0.52,0.948,0.99,0.703,O
0.91,0.053,0.455,0.829,0.678,0.836,0.794,0.649,0.837,0.572,O
0.739,0.275,0.156,0.535,0.599,0.903,0.699,0.615,0.923,0.857,O
0.675,0.779,0.61,0.698,0.838,0.973,0.987,0.706,0.662,0.647,O
0.681,0.277,0.921,0.591,0.593,0.7,0.772,0.62,0.838,0.763,O
0.903,0.883,0.659,0.578,0.863,0.892,0.638,0.836,0.797,0.849,O
0.664,0.897,0.623,0.914,0.465,0.633,0.855,0.913,0.802,0.95,O
0.605,0.938,0.085,0.521,0.071,0.995,0.636,0.837,0.841,0.896,O
0.542,0.973,0.759,0.71,0.44,0.513,0.952,0.912,0.788,0.838,O
0.733,0.355,0.674,0.584,0.211,0.802,0.687,0.698,0.715,0.84,O
0.741,0.302,0.563,0.94,0.137,0.83,0.775,0.578,0.638,0.973,O
0.92,0.46,0.306,0.779,0.057,0.844,0.525,0.869,0.884,0.648,O
0.611,0.314,0.538,0.616,0.989,0.56,0.713,0.68,0.613,0.501,O
0.69,0.838,0.361,0.751,0.407,0.969,0.916,0.836,0.846,0.636,O
0.904,0.568,0.579,0.866,0.645,0.591,0.903,0.635,0.617,0.609,O
0.912,0.279,0.219,0.979,0.826,0.811,0.612,0.541,0.813,0.831,O
0.692,0.367,0.087,0.61,0.845,0.611,0.613,0.996,0.874,0.817,O
0.73,0.263,0.001,0.943,0.793,0.654,0.909,0.578,0.609,0.797,O
0.652,0.921,0.04,0.967,0.208,0.773,0.965,0.994,0.53,0.508,O
0.966,0.43,0.597,0.958,0.769,0.709,0.548,0.989,0.565,0.864,O
0.559,0.615,0.911,0.818,0.501,0.58,0.725,0.897,0.803,0.662,O
0.967,0.449,0.237,0.815,0.725,0.585,0.669,0.83,0.925,0.833,O
0.842,0.751,0.125,0.702,0.237,0.709,0.935,0.789,0.522,0.778,O
0.766,0.525,0.775,0.876,0.345,0.879,0.542,0.933,0.867,0.671,O
0.516,0.318,0.848,0.766,0.885,0.949,0.606,0.645,0.671,0.567,O
0.738,0.623,0.99,0.839,0.34,0.542,0.876,0.734,0.739,0.547,O
0.704,0.373,0.929,0.714,0.092,0.697,0.526,0.81,0.964,0.916,O
0.581,0.471,0.662,0.866,0.754,0.55,0.746,0.706,0.666,0.959,O
0.828,0.664,0.411,0.912,0.885,0.508,0.721,0.714,0.733,0.825,O
0.986,0.342,0.43,0.573,0.12,0.831,0.667,0.665,0.507,0.552,O
0.781,0.164,0.117,0.916,0.902,0.801,0.697,0.782,0.541,0.701,O
0.857,0.898,0.4,0.77,0.011,0.582,0.765,0.925,0.629,0.864,O
0.534,0.215,0.067,0.922,0.739,0.617,0.581,0.601,0.514,0.89,O
0.125,0,0.712,0.171,0.254,0.062,0.491,0.003,0.198,0.197,T
0.037,0.549,0.38,0.222,0.389,0.035,0.191,0.242,0.026,0.237,T
0.332,0.532,0.874,0.338,0.583,0.455,0.388,0.062,0.201,0.427,T
0.298,0.133,0.632,0.254,0.578,0.095,0.171,0.154,0.337,0.17,T
0.208,0.187,0.026,0.431,0.443,0.411,0.314,0.463,0.225,0.435,T
0.211,0.586,0.541,0.433,0.057,0.272,0.096,0.081,0.374,0.044,T
0.393,0.498,0.689,0.005,0.308,0.039,0.073,0.483,0.178,0.388,T
0.098,0.466,0.19,0.389,0.556,0.478,0.469,0.103,0.317,0.424,T
0.41,0.331,0.676,0.23,0.756,0.123,0.459,0.371,0.093,0.091,T
0.324,0.378,0.062,0.494,0.506,0.43,0.444,0.273,0.375,0.215,T
0.209,0.883,0.415,0.242,0.66,0.084,0.313,0.442,0.273,0.083,T
0.229,0.151,0.477,0.493,0.582,0.427,0.404,0.277,0.102,0.353,T
0.128,0.059,0.552,0.377,0.872,0.007,0.035,0.267,0.146,0.268,T
0.376,0.396,0.296,0.124,0.151,0.256,0.167,0.098,0.374,0.318,T
0.256,0.08,0.477,0.269,0.829,0.385,0.157,0.083,0.241,0.098,T
0.16,0.722,0.04,0.496,0.516,0.467,0.318,0.458,0.108,0.106,T
0.298,0.983,0.086,0.429,0.28,0.455,0.178,0.164,0.484,0.021,T
0.498,0.383,0.216,0.049,0.048,0.41,0.074,0.186,0.358,0.161,T
0.218,0.631,0.784,0.353,0.414,0.444,0.298,0.38,0.479,0.28,T
0.46,0.06,0.604,0.173,0.523,0.1,0.407,0.169,0.214,0.429,T
0.173,0.387,0.051,0.003,0.512,0.142,0.191,0.476,0.238,0.333,T
0.027,0.574,0.566,0.202,0.558,0.144,0.066,0.369,0.449,0.218,T
0.102,0.046,0.946,0.117,0.297,0.189,0.098,0.299,0.263,0.477,T
0.209,0.99,0.684,0.409,0.143,0.197,0.119,0.44,0.354,0.36,T
0.11,0.49,0.415,0.169,0.335,0.272,0.15,0.025,0.126,0.465,T
0,0.237,0.097,0.414,0.798,0.08,0.321,0.129,0.223,0.264,T
0.458,0.782,0.993,0,0.874,0.346,0.3,0.233,0.062,0.129,T
0.422,0.334,0.731,0.154,0.578,0.084,0.348,0.113,0.103,0.026,T
0.371,0.549,0.403,0.121,0.997,0.155,0.181,0.372,0,0.363,T
0.084,0.907,0.992,0.117,0.355,0.252,0.412,0.46,0.02,0.061,T
0.06,0.472,0.553,0.034,0.21,0.398,0.102,0.212,0.489,0.151,T
0.034,0.567,0.796,0.094,0.61,0.37,0.235,0.171,0.121,0.266,T
0.362,0.006,0.496,0.278,0.735,0.323,0.4,0.481,0.332,0.282,T
0.464,0.551,0.407,0.146,0.897,0.078,0.09,0.222,0.42,0.3,T
0.215,0.43,0.75,0.209,0.572,0.274,0.055,0.245,0.275,0.083,T
0.06,0.426,0.615,0.188,0.088,0.044,0.442,0.176,0.077,0.19,T
0.256,0.649,0.669,0.438,0.933,0.189,0.171,0.455,0.364,0.309,T
0.174,0.932,0.997,0.453,0.287,0.207,0.342,0.284,0.3,0.485,T
0.187,0.859,0.5,0.246,0.239,0.02,0.013,0.381,0.366,0.364,T
0.311,0.935,0.303,0.165,0.766,0.137,0.345,0.406,0.385,0.461,T
0.359,0.207,0.504,0.053,0.427,0.478,0.158,0.171,0.488,0.381,T
0.055,0.909,0.37,0.477,0.897,0.477,0.028,0.217,0.287,0.296,T
0.018,0.109,0.249,0.03,0.809,0.176,0.305,0.424,0.171,0.096,T
0.497,0.945,0.683,0.149,0.501,0.022,0.12,0.182,0.324,0.333,T
0.116,0.952,0.329,0.149,0.752,0.09,0.193,0.397,0.034,0.312,T
0.027,0.678,0.252,0.16,0.169,0.196,0.04,0.47,0.449,0.301,T
0.095,0.549,0.189,0.082,0.511,0.474,0.074,0.312,0.06,0.245,T
0.019,0.671,0.697,0.392,0.879,0.071,0.149,0.371,0.164,0.264,T
0.196,0.631,0.271,0.061,0.942,0.382,0.045,0.403,0.408,0.167,T
0.401,0.369,0.357,0.317,0.521,0.054,0.455,0.423,0.299,0.26,T
